% For a more comprehensive dataset with many more features check out the "Yacht/Motorboat Pricing Data (10,000+ listings)" dataset.
% Link below:
% https://www.kaggle.com/artemkorottchenko/large-boatyacht-pricing-dataset
% Context
% What are the most important features in determining the price of a new or used aircraft? Is it the aircraft type? Year? Manufacturer? Other characteristics? 
% This is one of many questions regarding the used/new aircraft markets I hope to answer with this dataset. 
% The dataset contains over 2000 aircraft that are for sale around the world. The data was scraped during July of 2020.
% Content
% The data was scraped from various websites using the Scrapy framework for Python. 
% Scrapy script:
% https://github.com/akorott/Aircraft-Scrapy-Script.git
% Content scraped:
%
% New/Used
% Price  
% Currency (USD, EUR, GBP)
% Category
% Year
% Make
% Model
% Location
% Serial number
% Registration number
% Total hours
% Engine 1 hours 
% Engine 2 hours 
% Prop 1 hours
% Prop 2 hours
% Total Seats
% Flight Rules
% National Origin
%
% Keep in mind that the data was scraped from 2 different sources. Some of the data (New/Used, Engine 1 hours, Engine 2 hours, Prop 1 hours, Prop 2 hours, Total Seats, Flight Rules) was only easily accessible on one source, thus is missing for part of the dataset. 
% FAQ
% Flight Rules: Visual Flight Rules (VFR) VS Instrument Flight Rules (IFR). In a nutshell, an aircraft equipped with IFR is one where a pilot can fully navigate an aircraft using instruments in the cockpit. Any aircraft flying over 18,000 feet, by law, has to be equipped with IFR equipment.
% BTH - Beyond the Horizon - according to my research, BTH means that an aircraft is equipped with a radar, but doesn't fully meet IFR criteria.
% VFR - (https://en.wikipedia.org/wiki/Visual_flight_rules)
% IFR - (https://en.wikipedia.org/wiki/Instrument_flight_rules)
% Some of the acronyms used within total hours, engine 1, engine 2, prop 1, prop 2 columns:
% SMOH - Since major overhaul
% SNEW - Since new
% SPOH - Since prop overhaul
% SFOH - Since factory overhaul (more reliable)
% SOH - Since overhaul
% STOH - Since top overhaul
% SFRM - Since factory re-manufactured
% Thank you for checking out this dataset and happy kaggling!  
@RELATION Aircraft-Pricing-Dataset

@ATTRIBUTE Condition STRING
@ATTRIBUTE Price STRING
@ATTRIBUTE Currency STRING
@ATTRIBUTE Category STRING
@ATTRIBUTE Year STRING
@ATTRIBUTE Make STRING
@ATTRIBUTE Model STRING
@ATTRIBUTE Location STRING
@ATTRIBUTE S/N STRING
@ATTRIBUTE REG STRING
@ATTRIBUTE Total_Hours STRING
@ATTRIBUTE Engine_1_Hours STRING
@ATTRIBUTE Engine_2_Hours STRING
@ATTRIBUTE Prop_1_Hours STRING
@ATTRIBUTE Prop_2_Hours STRING
@ATTRIBUTE Total_Seats REAL
@ATTRIBUTE Flight_Rules STRING
@ATTRIBUTE National_Origin STRING

@DATA
Used,'889,000 ',USD,'Single Engine Piston',2018,CIRRUS,'SR22T-G6 GTS','Plentywood,\n                           MT\n                           USA',1811,N11P,100,'100 SNEW',?,'100 SNEW',?,5.0,IFR,'United States'
Used,'304,900 ',USD,'Single Engine Piston',2018,CUBCRAFTERS,'CARBON CUB FX3','Mesa,\n                           AZ\n                           USA',CCX-2000-0009,N19FX,395,'395 SNEW',?,'395 SNEW',?,2.0,VFR,'United States'
Used,'80,000 ',USD,'Single Engine Piston',1980,CESSNA,'172N SKYHAWK','New Orleans,\n                           LA\n                           USA',172297,N390DV,1871,'1871 HOURS',?,'1871 HOURS',?,4.0,IFR,'United States'
Used,'115,000 ',USD,'Single Engine Piston',1980,CESSNA,'182RG SKYLANE','Hawthorne,\n                           CA\n                           USA',18201385,N4696S,5317,'371 SNEW',?,?,?,4.0,IFR,'United States'
Used,'249,000 ',USD,'Single Engine Piston',1980,CESSNA,'207 TURBO','Jackson Hole,\n                           WY\n                           USA',207-00584,N307JH,10967,'1455 SFRM',?,'1025 SPOH',?,8.0,IFR,'United States'
Used,'249,000 ',USD,'Single Engine Piston',1980,CESSNA,P210N,'Warsaw,\n                           IN\n                           USA',P21000530,N117UM,4679,'634 SMOH',?,'66 SNEW',?,6.0,IFR,'United States'
Used,'125,000 ',USD,'Single Engine Piston',1980,'MOONEY INTERNATIONAL CORP','M20J 201','Coatesville,\n                           PA\n                           USA',24-0905,N3705H,2080,'740 SFRM',?,'1425 SNEW',?,4.0,IFR,'United States'
Used,'99,000 ',USD,'Single Engine Piston',1980,'MOONEY INTERNATIONAL CORP','M20K 231','KS\n                           USA',25-0329,N231NS,5616,'172 SMOH',?,'2165 SNEW',?,4.0,IFR,'United States'
Used,'221,900 ',USD,'Single Engine Piston',1981,BEECHCRAFT,'A36 BONANZA 36','Sturgis,\n                           MI\n                           USA',E-1766,N3736D,3902,'1010 SFRM',?,'1010 SPOH',?,6.0,BTH,'United States'
Used,'234,000 ',USD,'Multi Engine Piston',1981,CESSNA,340A,'Calgary,\n                           AB\n                           CAN','Not Listed',C-GSPV,4510,'975 SMOH','995 SMOH','172 SPOH','172 SPOH',?,?,'United States'
Used,'349,900 ',USD,'Multi Engine Piston',1981,CESSNA,414A,'Nashua,\n                           NH\n                           USA',414A-0616,N379TW,5100,'1250 SMOH','215 SMOH','625 SNEW','625 SNEW',8.0,BTH,'United States'
Used,'995,000 ',USD,Turboprop,1981,CESSNA,'CONQUEST II','Grants Pass,\n                           OR\n                           USA',441-0213,N716CC,10685,'975 SOH','975 SOH','203 SPOH','1179 SPOH',11.0,IFR,'United States'
Used,'169,900 ',USD,'Single Engine Piston',1981,'PIPER AIRCRAFT',SARATOGA,'Sturgis,\n                           MI\n                           USA',32-8106064,N8385Q,4033,'117 SMOH',?,'1557 SPOH',?,6.0,IFR,'United States'
Used,'275,000 ',USD,'Private Jets',1983,'GULFSTREAM AIRSPACE',III,'Ft Lauderdale,\n                           FL\n                           USA',400,'Not Listed',5700,?,?,?,?,?,?,'United States'
Used,'139,000 ',USD,'Single Engine Piston',1984,CESSNA,'182RG SKYLANE','IL\n                           USA',R18201990,N6347T,3890,1150,?,'680 SPOH',?,4.0,?,'United States'
Used,'259,000 ',USD,'Single Engine Piston',1984,'PIPER AIRCRAFT',MALIBU,'Branson,\n                           MO\n                           USA',46-8408061,N80ZZ,6880,'1592 SMOH',?,?,?,6.0,BTH,'United States'
Used,'375,000 ',USD,'Single Engine Piston',1944,BEECHCRAFT,'D17S STAGGERWING','OR\n                           USA',6871,N248E,1691,'0 SMOH',?,'250 SPOH',?,5.0,?,'United States'
Used,'4,500,000 ',EUR,'Single Engine Piston',1944,MESSERSCHMITT,BF-109G-14,DEU,'462 707',D-FMGV,11,12,?,12,?,1.0,?,Germany
Used,'3,995,000 ',USD,'Single Engine Piston',1944,'NORTH AMERICAN AVIATION',TF51D,'Bremgarten,\n                           CA\n                           USA',44-73871,D-FTSI,377,'150 SMOH',?,'150 SMOH',?,2.0,BTH,'United States'
Used,'1,950,000 ',EUR,'Single Engine Piston',1945,SUPERMARINE,'SPITFIRE MKXVIII',DEU,TP280,D-FSPT,185,10,?,10,?,1.0,?,Britain
Used,'23,900 ',USD,'Single Engine Piston',1946,ERCOUPE,415-D,'Westbrook,\n                           CT\n                           USA',3706,N3084H,5651,'638 SMOH',?,?,?,2.0,IFR,'United States'
New,'85,000 ',USD,'Single Engine Piston',1946,'PIPER AIRCRAFT','J-3 CUB','Roanoke,\n                           TX\n                           USA',17262,N70281,31,'31 SMOH',?,'31 SNEW',?,2.0,VFR,'United States'
Used,'52,500 ',USD,'Single Engine Piston',1946,'PIPER AIRCRAFT','L-4 CUB','Fredericksburg,\n                           PA\n                           USA','Not Listed',N87910,2763,'95 SMOH',?,'95 SNEW',?,?,VFR,'United States'
Used,'35,500 ',USD,'Single Engine Piston',1946,'PIPER AIRCRAFT','PA-12 SUPER CRUISER','Independence,\n                           IA\n                           USA',12-423,N7556H,3900,'2810 SMOH',?,?,?,3.0,VFR,'United States'
Used,'3,250,000 ',USD,'Single Engine Piston',1948,GRUMMAN,'F8F-2 BEARCAT',Spokane,121752,N800H,1569,'145 SMOH',?,'248 SPOH',?,?,?,'United States'
Used,'1,200,000 ',EUR,'Single Engine Piston',1949,HAWKER,'SEA FURY FB.MK 11',FRA,37514,F-AZXL,?,?,?,?,?,?,?,Britain
Used,'1,600,000 ',EUR,'Single Engine Piston',1949,HAWKER,'SEA FURY FB.MK 11',FRA,37733,F-AZXJ,240,85,?,85,?,?,?,Britain
Used,'1,050,000 ',EUR,'Single Engine Piston',1950,FIAT,G59,ITA,MM-53774,I-MRSV,240,'240 SMOH',?,'240 SPOH',?,2.0,VFR,ITALY
Used,'180,000 ',USD,'Single Engine Piston',1950,PILATUS,P2-06,CHE,56,HB-RAR,2016,'1148 SNEW',?,'1704 SNEW',?,2.0,?,Switzerland
Used,'179,000 ',USD,'Single Engine Piston',1951,'NORTH AMERICAN AVIATION','HARVARD MKIV','Rockford,\n                           IL\n                           USA',20218,N287AM,2505,'573 SMOH',?,'573 SPOH',?,?,?,'United States'
Used,'120,000 ',EUR,'Single Engine Piston',1952,POLIKARPOV,PO-2,DEU,430,D-EEPO,152,?,?,?,?,2.0,?,'Soviet Union'
Used,'750,000 ',USD,'Single Engine Piston',1953,DEHAVILLAND,DHC-3,?,14,'Not Listed',17790,'602 SMOH',?,'602 SMOH',?,10.0,VFR,Canada
Used,'35,500 ',USD,'Single Engine Piston',1956,BEECHCRAFT,'G35 BONANZA','Placerville,\n                           CA\n                           USA',D-4672,N4456D,5990,'990 SMOH',?,'990 SMOH',?,4.0,VFR,'United States'
Used,'95,000 ',USD,'Piston Helicopters',1957,'BELL TEXTRON',47G,'Kennebunk,\n                           ME\n                           USA','Not Listed','Not Listed',?,?,?,?,?,?,?,'United States'
Used,'59,500 ',USD,'Single Engine Piston',1959,BEECHCRAFT,'K35 BONANZA','Columbus,\n                           OH\n                           USA',D-5877,N5379E,4875,'1120 SMOH',?,'43 HOURS',?,?,?,'United States'
Used,'38,000 ',USD,'Single Engine Piston',1959,'PIPER AIRCRAFT','COMANCHE 250','Chatham,\n                           MA\n                           USA','Not Listed',N6384P,5385,'540 SMOH',?,'127 SNEW',?,4.0,VFR,'United States'
Used,'96,000 ',USD,'Single Engine Piston',1964,'PIPER AIRCRAFT','COMANCHE 400','NY\n                           USA','Not Listed','Not Listed',3300,'1100 SMOH',?,'50 SPOH',?,?,?,'United States'
Used,'169,000 ',USD,'Single Engine Piston',1965,BEECHCRAFT,'S35 BONANZA','KS\n                           USA',D-7901,N6019F,3651,'310 SMOH',?,'310 SPOH',?,6.0,?,'United States'
Used,'24,000 ',USD,'Single Engine Piston',1966,'ALON AIRCOUPE',A2,'Pendleton,\n                           SC\n                           USA','Not Listed',N5699F,?,?,?,?,?,?,?,'United States'
Used,'80,000 ',USD,'Multi Engine Piston',1966,CESSNA,337A,'Lake Stevens,\n                           WA\n                           USA',337-0396,N6396F,?,?,?,?,?,?,?,'United States'
Used,'129,000 ',USD,'Multi Engine Piston',1967,BEECHCRAFT,'C55 BARON','San Angelo,\n                           TX\n                           USA','Not Listed',N282JL,4325,'945 SFRM','945 SFRM','210 SMOH','210 SMOH',6.0,IFR,'United States'
Used,'40,000 ',USD,'Single Engine Piston',1967,BELLANCA,'17-30 VIKING 300','Arleta,\n                           CA\n                           USA',30053,N4702V,?,?,?,?,?,4.0,BTH,'United States'
Used,'79,900 ',USD,'Single Engine Piston',1967,CESSNA,'172/180 CONVERSION','Soldotna,\n                           AK\n                           USA',R172-0118,N96890,2200,'82 SMOH',?,2200,?,4.0,?,'United States'
Used,'479,000 ',USD,'Single Engine Piston',1967,DEHAVILLAND,DHC-2,'Ranier,\n                           MN\n                           USA',1518,'Not Listed',13192,'302 SMOH',?,'181 SMOH',?,6.0,VFR,Canada
Used,'75,000 ',USD,'Single Engine Piston',1967,'PIPER AIRCRAFT',PAWNEE,'Immokalee,\n                           FL\n                           USA',25-4422,N4691Y,4862,'548 SMOH',?,'548 SPOH',?,1.0,VFR,'United States'
Used,'35,000 ',USD,'Single Engine Piston',1968,'MOONEY INTERNATIONAL CORP',M20C,'Kennebunk,\n                           ME\n                           USA','Not Listed','Not Listed',4717,'1365 SMOH',?,'215 SPOH',?,4.0,IFR,'United States'
Used,'65,000 ',USD,'Single Engine Piston',1968,'PIPER AIRCRAFT','CHEROKEE 180','Naples,\n                           FL\n                           USA',28-4607,N5305L,4200,'700 SMOH',?,'120 SPOH',?,4.0,IFR,'United States'
Used,'49,872 ',USD,'Single Engine Piston',1969,CESSNA,'172K SKYHAWK','Weyers Cave,\n                           VA\n                           USA',17258095,N79446,5968,'1412 SMOH',?,?,?,4.0,VFR,'United States'
Used,'22,000 ',USD,'Single Engine Piston',1970,'EAA BIPLANE',P1,'Malvern,\n                           AR\n                           USA',101,N4352,656,'160 STOH',?,'656 SNEW',?,1.0,VFR,'United States'
Used,'34,500 ',USD,'Single Engine Piston',1970,'MOONEY INTERNATIONAL CORP','M10 CADET','Daytona Beach,\n                           FL\n                           USA',700028,N9538V,1660,'90 SMOH',?,?,?,2.0,?,'United States'
Used,'95,000 ',USD,'Single Engine Piston',1970,'PIPER AIRCRAFT',ARROW,'Conroe,\n                           TX\n                           USA',28R-31261,N3284R,6600,'1200 SMOH',?,'148 SNEW',?,4.0,BTH,'United States'
Used,'62,000 ',USD,'Single Engine Piston',1970,'PIPER AIRCRAFT','ARROW II','Birdsboro,\n                           PA\n                           USA',28R-35695,N29SP,3028,'1861 SMOH',?,'917 SMOH',?,4.0,?,'United States'
Used,'68,900 ',USD,'Single Engine Piston',1972,CESSNA,177RG,'Sturgis,\n                           MI\n                           USA',177RG0241,N1841Q,6241,'536 SMOH',?,'527 SPOH',?,4.0,?,'United States'
Used,'390,000 ',USD,'Single Engine Piston',1972,CESSNA,185E,'Harrison,\n                           OH\n                           USA',18502015,N550RW,3550,375,?,?,?,4.0,BTH,'United States'
Used,'199,900 ',USD,'Turbine Helicopters',1973,AEROSPATIALE,'ALOUETTE III','Ft. Pierce,\n                           FL\n                           USA',2020,N748GC,4860,'100 SMOH',?,?,?,6.0,VFR,France
Used,'175,000 ',USD,'Single Engine Piston',1973,CESSNA,'182 SKYLANE','Sidney\n                           \n                           CAN','Not Listed',C-GTSK,3227,'647 SMOH',?,'278 SNEW',?,4.0,?,'United States'
Used,'124,900 ',USD,'Multi Engine Piston',1973,CESSNA,414,'Oxnard,\n                           CA\n                           USA',414-0358,N414RN,6800,'1435 SMOH','1435 SMOH','1435 SNEW','1435 SNEW',7.0,IFR,'United States'
Used,'63,900 ',USD,'Single Engine Piston',1973,'PIPER AIRCRAFT',ARROW,'Clearwater,\n                           FL\n                           USA',28R-733525,N55599,6396,'1040 SMOH',?,?,?,?,?,'United States'
Used,'135,000 ',USD,'Multi Engine Piston',1974,BEECHCRAFT,'58 BARON','Golfview , Walkerville , Johannesburg\n                           \n                           ZAF','TH 495','ZS LYN','21 SMOH','21 SMOH','21 SMOH','21 SMOH','21 SMOH',6.0,IFR,'United States'
Used,'75,000 ',USD,'Single Engine Piston',1974,BELLANCA,'17-30A SUPER VIKING (1979 AND NEWER)','New Orleans,\n                           LA\n                           USA',74-30679,N147PH,3141,'1115 SMOH',?,?,?,?,IFR,'United States'
Used,'89,000 ',USD,'Single Engine Piston',1974,CESSNA,'172M SKYHAWK','Laplace,\n                           LA\n                           USA',17263241,N40RG,3225,'1185 HOURS',?,?,?,4.0,IFR,'United States'
Used,'299,000 ',USD,Turboprop,1974,'MITSUBISHI HEAVY INDUSTRIES','MU 2K','TN\n                           USA',302,N462MA,7137,'3853 SOH','4400 SOH',?,?,7.0,IFR,Japan
Used,'193,000 ',USD,'Multi Engine Piston',1975,BEECHCRAFT,'E55 BARON','Greensboro,\n                           NC\n                           USA',TE-1014,N40BD,4125,'955 SFRM',?,?,?,?,?,'United States'
Used,'108,000 ',USD,'Single Engine Piston',1975,CESSNA,177B,'Fergus Falls,\n                           MN\n                           USA',17702278,N3523Q,3415,'670 SMOH',?,'670 SPOH',?,4.0,BTH,'United States'
Used,'164,500 ',USD,'Multi Engine Piston',1975,CESSNA,310R,'Durant,\n                           OK\n                           USA',310R0217,N5097J,3400,'950 SFRM','950 SFRM','1750 SOH','1750 SOH',6.0,IFR,'United States'
Used,'199,500 ',USD,'Multi Engine Piston',1975,CESSNA,310R,'Cottonwood,\n                           AZ\n                           USA','Not Listed',N310LA,3700,'450 SMOH',?,?,?,?,IFR,'United States'
Used,'169,950 ',USD,'Multi Engine Piston',1975,CESSNA,421B,'Conroe,\n                           TX\n                           USA',421B0877,N770CS,7103,'681 SOH','275 SOH','83 SOH','83 SOH',7.0,IFR,'United States'
Used,'159,000 ',USD,'Multi Engine Piston',1975,CESSNA,421B,'Dallas,\n                           TX\n                           USA',421B0906,N5448J,4898,'324 STOH','50 SMOH','1526 SNEW','50 SOH',8.0,IFR,'United States'
Used,'85,000 ',USD,'Single Engine Piston',1975,'GREAT LAKES',2T-1A-2,'Cambridge,\n                           NY\n                           USA',722,N5ZM,1056,'268 SMOH',?,'778 SPOH',?,2.0,?,'United States'
Used,'139,900 ',USD,'Multi Engine Piston',1976,'Piper Aircraft Corporation',601P,'Corpus Christi,\n                           TX\n                           USA',61P-0280-0,N23SS,5450,'375 SMOH','375 SMOH','15 SMOH','15 SMOH',5.0,BTH,'United States'
Used,'129,500 ',USD,'Multi Engine Piston',1976,BEECHCRAFT,'58P BARON','Batesville,\n                           MS\n                           USA','Not Listed',N228SC,4640,'551 STOH','551 STOH',233,233,6.0,BTH,'United States'
Used,'125,000 ',USD,'Single Engine Piston',1976,CESSNA,T210L,'Thermal, CA (KTRM),\n                           CA\n                           USA',21061391,N66CE,4763,'1125 SOH',?,'965 SPOH',?,6.0,BTH,'United States'
Used,'226,900 ',USD,Turboprop,1976,'SIAI MARCHETTI',SM1019A,USA,N.C.013,N2068W,1070,'1319 SMOH',?,?,?,2.0,?,Italy
Used,'199,000 ',USD,'Multi Engine Piston',1977,'Piper Aircraft Corporation','700 SUPERSTAR','Gulfport,\n                           MS\n                           USA','Not Listed',N778E,4130,'575 SMOH','1026 SMOH','575 SPOH','575 SPOH',6.0,IFR,'United States'
Used,'259,900 ',USD,'Multi Engine Piston',1977,BEECHCRAFT,'B55 BARON','Conroe,\n                           TX\n                           USA',TC-2052,N628Q,4560,'340 SMOH','340 SMOH','985 SPOH','985 SPOH',6.0,IFR,'United States'
Used,'145,000 ',USD,'Single Engine Piston',1977,BEECHCRAFT,'F33 BONANZA','Hayti,\n                           MO\n                           USA',CE-704,N17747,2060,'625 SFOH',?,'63 SPOH',?,4.0,IFR,'United States'
Used,'107,000 ',USD,'Single Engine Piston',1977,CESSNA,'172N SKYHAWK','Sidney,\n                           BC\n                           CAN','Not Listed',C-GXF0,6136,'1065 SMOH',?,'265 SPOH',?,4.0,?,'United States'
Used,'205,000 ',USD,'Multi Engine Piston',1977,CESSNA,310R,'Hillsville,\n                           VA\n                           USA',310R0970,N696SC,3023,'598 SMOH','1192 SMOH','21 SPOH','21 SPOH',6.0,IFR,'United States'
Used,'219,900 ',USD,'Multi Engine Piston',1977,CESSNA,340A,Kankakee,340A0353,N912WT,3871,'851 SMOH','1090 SMOH','553 SPOH',?,?,?,'United States'
Used,'109,000 ',USD,'Multi Engine Piston',1977,CESSNA,340A,'Stuart,\n                           FL\n                           USA',340A0266,N4043G,4718,'1780 SNEW','1780 SNEW','27 SOH','522 SOH',6.0,BTH,'United States'
Used,'239,000 ',USD,'Multi Engine Piston',1977,CESSNA,421C,'Montgomery,\n                           NY\n                           USA',4210311,N251JL,6125,'425 SMOH','425 SMOH','620 SPOH','135 SPOH',8.0,IFR,'United States'
Used,'72,000 ',USD,'Single Engine Piston',1977,ROCKWELL,112TCA,'Salt Lake City,\n                           UT\n                           USA',13187,N520CA,2563,'602 SMOH',?,'73 SPOH',?,?,BTH,'United States'
Used,'94,900 ',USD,'Single Engine Piston',1977,'IAR S.A. BRASOV',IAR-823,'Port St. Lucie,\n                           FL\n                           USA',32,N823PL,1085,'1621 SNEW','65 SMOH','230 SPOH',?,?,IFR,Romania
Used,'165,000 ',USD,'Multi Engine Piston',1978,'Piper Aircraft Corporation',601P,'Gaithersburg,\n                           MD\n                           USA',61P-0545-2,N144SJ,3287,'877 SMOH','876 SMOH','0 SPOH','0 SPOH',6.0,VFR,'United States'
Used,'112,000 ',USD,'Single Engine Piston',1978,CESSNA,172,'Pembroke Pines,\n                           FL\n                           USA','Not Listed',N738FY,6000,'1000 SMOH',?,'1000 SMOH',?,4.0,IFR,'United States'
Used,'108,000 ',USD,'Single Engine Piston',1978,CESSNA,'182RG SKYLANE','Spring,\n                           TX\n                           USA',R18200336,N4175C,4867,'549 SFOH',?,'330 SFOH',?,4.0,BTH,'United States'
Used,'285,000 ',USD,'Multi Engine Piston',1978,CESSNA,340A,'PIEDMONT,\n                           OK\n                           USA','Not Listed',N531M,4063,892,892,892,892,6.0,IFR,'United States'
Used,'259,000 ',USD,'Multi Engine Piston',1978,CESSNA,340A,'Norfolk (KPVG),\n                           VA\n                           USA',340A0532,N4315C,5226,'110 SMOH','110 SMOH','67 SPOH','67 SPOH',?,IFR,'United States'
Used,'325,000 ',USD,'Multi Engine Piston',1978,CESSNA,414A,'Midland,\n                           TX\n                           USA',414A-0105,N301CP,5520,'734 SMOH','430 SMOH',?,?,8.0,IFR,'United States'
Used,'88,500 ',USD,'Multi Engine Piston',1978,'PIPER AIRCRAFT','AZTEC F','Aberdeen,\n                           SD\n                           USA',27-7854110,N63983,12155,'275 SFOH','1912 SFOH','2511 SPOH','2112 SPOH',6.0,IFR,'United States'
Used,'94,900 ',USD,'Single Engine Piston',1978,'PIPER AIRCRAFT','TURBO LANCE II','Kearney,\n                           NE\n                           USA',32R-788706,N36716,3440,'1440 SMOH',?,?,?,?,?,'United States'
Used,'125,000 ',USD,'Single Engine Piston',1978,'PIPER AIRCRAFT','TURBO LANCE II','Dayton,\n                           TN\n                           USA',32R-788702,N14DW,3550,'324 SMOH',?,'309 SPOH',?,?,?,'United States'
Used,'195,000 ',USD,'Multi Engine Piston',1979,'Piper Aircraft Corporation','700 SUPERSTAR','Norfolk,\n                           VA\n                           USA',61P0636796,N52JK,4004,'899 SFRM',?,'565 SPOH',?,6.0,IFR,'United States'
Used,'66,000 ',USD,'Single Engine Piston',1979,'AMERICAN CHAMPION','8-KCAB DECATHLON','TX\n                           USA',510-79,N50451,1548,'70 SMOH',?,'70 SPOH',?,?,?,'United States'
Used,'189,000 ',USD,'Multi Engine Piston',1979,BEECHCRAFT,'58P BARON','MN\n                           USA',TJ-222,N6658Z,5285,'712 SFRM','712 SFRM','395 SPOH','395 SPOH',6.0,?,'United States'
Used,'179,000 ',USD,'Multi Engine Piston',1979,BEECHCRAFT,'B55 BARON','TX\n                           USA',TC-2235,N2055P,3310,'1262 SNEW','1262 SNEW','673 SPOH','673 SPOH',6.0,?,'United States'
