atencion_id;fecha_hora;informador_id;centro_id;encuesta_id;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Sexo;¿ En qué medio de transporte ha llegado a Madrid?;¿Cómo ha localizado los SAIT?;¿Volvería a utilizar este servicio?;¿Ha buscado información sobre la ciudad de Madrid antes de venir;En relación con las instalaciones del Servicio de Atención e Inf;En relación con el personal de atención que le ha atendido en lo;En relación con el servicio prestado, ¿cuál es su grado de satis;En relación con los medios materiales y la documentación disponi;¿Cuál es su nivel global de satisfacción con el Servicio de Aten;Observaciones;Con quién viaja (sólo una opción);Edad;Duración de la estancia en Madrid;¿Cuál es el motivo de su visita a la Ciudad de  Madrid?;¿Qué instalaciones del Servicio de Atención e Información Turíst
2124905;2021-07-17 15:45:40;98;58;174;Seleccione País;Navarra;Hombre;Otro (Indicar)##ave;"Los había visto anteriormente&nbsp;";Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$9;Utilidad de la información facilitada$$8;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$10;10;;En pareja;45-64;Residente;Ocio, recreo y vacaciones;PIT del Paseo del Prado
2124907;2021-07-17 15:50:54;98;58;174;Seleccione País;NULL;Hombre;Avión;Los ha encontrado en su recorrido;Sí;Otros (Indicar)##Familia le organiza viaje;Señalización informativa$$5;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$10;10;La entrada no esta bien señalizada para entrar es a la izquierda y pensábamos ir de frente;En familia;45-64;De 1 a 2 semanas;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124908;2021-07-17 15:53:57;98;58;174;Seleccione País;Navarra;Mujer;Otro (Indicar)##ave;Los ha encontrado en su recorrido;Sí;No ha buscado información;Señalización informativa$$8;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$9;10;;En pareja;45-64;2 noches;Ocio, recreo y vacaciones;PIT del Paseo del Prado
2124909;2021-07-17 15:58:32;98;58;174;Seleccione País;NULL;Hombre;Avión;Los ha encontrado en su recorrido;Sí;No ha buscado información;Señalización informativa$$9;Utilidad de la información facilitada$$8;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$9;9;;Sólo;25-44;3 noches;Ocio, recreo y vacaciones;PIT del Paseo del Prado
2124914;2021-07-17 15:58:57;313;49;174;España;Barcelona;Mujer;Avión;Los ha encontrado en su recorrido;Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Con amigos;25-44;2 noches;Ocio, recreo y vacaciones;PIT del Aeropuerto T-4
2124915;2021-07-17 16:00:00;98;58;174;Seleccione País;Madrid;Hombre;Residente;"Los había visto anteriormente&nbsp;";Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$8;Utilidad de la información facilitada$$8;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$8;9;;Residente;+65;Residente;Residente;PIT del Paseo del Prado
2124916;2021-07-17 15:55:14;98;58;174;Seleccione País;Guipúzcoa;Hombre;Coche particular;"Los había visto anteriormente&nbsp;";Sí;Otros (Indicar)##Organizado por empresa turística ;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;Abrir antes;En familia;25-44;3 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124917;2021-07-17 16:03:35;98;58;174;Luxemburgo;NULL;Mujer;Avión;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##tripadvisor;Señalización informativa$$8;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$9;9;;En pareja;25-44;2 noches;Ocio, recreo y vacaciones;PIT del Paseo del Prado
2124920;2021-07-17 16:09:13;312;51;174;España;Madrid;Mujer;Residente;"Los había visto anteriormente&nbsp;";Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Residente;25-44;Residente;Residente;PIT de Estadio Santiago Bernabéu
2124921;2021-07-17 16:05:24;98;58;174;Seleccione País;NULL;Hombre;Avión;Los ha encontrado en su recorrido;Sí;No ha buscado información;Señalización informativa$$8;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;9;;En familia;45-64;De 4 a 7 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124923;2021-07-17 16:11:52;312;51;174;Estados Unidos;NULL;Hombre;Avión;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##youtube;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En familia;25-44;De 1 a 2 semanas;Ocio, recreo y vacaciones;PIT de Estadio Santiago Bernabéu
2124925;2021-07-17 16:12:28;313;49;174;España;Islas Baleares;Mujer;Avión;Los ha encontrado en su recorrido;Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En familia;45-64;3 noches;Ocio, recreo y vacaciones;PIT del Aeropuerto T-4
2124930;2021-07-17 16:15:54;98;58;174;Seleccione País;Madrid;Mujer;Residente;"Los había visto anteriormente&nbsp;";Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$9;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$9;9;;Residente;45-64;Residente;Residente;PIT del Paseo del Prado
2124932;2021-07-17 16:16:45;313;49;174;España;Madrid;Hombre;Avión;"Los había visto anteriormente&nbsp;";Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Sólo;45-64;Residente;Residente;PIT del Aeropuerto T-4
2124933;2021-07-17 16:17:26;260;43;174;Francia;NULL;Mujer;Avión;Tenía información previa de su ubicación##viajeanterior;Sí;Internet/web (Indicar páginas)##esmadrid.com;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En pareja;25-44;De 4 a 7 noches;Ocio, recreo y vacaciones;PIT del Aeropuerto T-2
2124934;2021-07-17 16:19:16;313;49;174;España;Madrid;Mujer;Avión;Los ha encontrado en su recorrido;Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En pareja;15-24;Residente;Residente;PIT del Aeropuerto T-4
2124939;2021-07-17 16:25:20;313;49;174;España;Melilla;Hombre;Avión;Los ha encontrado en su recorrido;Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;En familia;45-64;1 noche;Tránsito;PIT del Aeropuerto T-4
2124940;2021-07-17 16:25:18;98;58;174;Italia;NULL;Hombre;Avión;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##booking;Señalización informativa$$9;Utilidad de la información facilitada$$7;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$9;9;;Con amigos;45-64;2 noches;Ocio, recreo y vacaciones;PIT del Paseo del Prado
2124944;2021-07-17 16:13:27;98;58;174;Seleccione País;Barcelona;Hombre;Tren;"Los había visto anteriormente&nbsp;";Sí;Internet/web (Indicar páginas)##Booking/trivago;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Sólo;15-24;De 1 a 2 semanas;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124951;2021-07-17 16:35:40;98;58;174;Seleccione País;NULL;Mujer;Avión;Tenía información previa de su ubicación##Maps;Sí;Otros (Indicar)##Familia ;Señalización informativa$$8;Utilidad de la información facilitada$$9;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$8;9;Falta máquina de comida/bebida;En pareja;25-44;De 1 a 2 semanas;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124954;2021-07-17 16:29:20;98;58;174;Francia;NULL;Mujer;Avión;Los ha encontrado en su recorrido;Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$9;Utilidad de la información facilitada$$9;Tiempo de espera para ser atendido$$9;Plano de la ciudad$$9;9;;Con amigos;25-44;2 noches;Ocio, recreo y vacaciones;PIT del Paseo del Prado
2124958;2021-07-17 16:45:13;313;49;174;Colombia;NULL;Hombre;Avión;Los ha encontrado en su recorrido;Sí;Otros (Indicar)##Instagram;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Con amigos;25-44;3 noches;Ocio, recreo y vacaciones;PIT del Aeropuerto T-4
2124959;2021-07-17 16:42:13;98;58;174;Seleccione País;NULL;Mujer;Avión;Los ha encontrado en su recorrido;Sí;Internet/web (Indicar páginas)##Turismoespañamadrid;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;Felicidades por el empeño, dedicación y paciencia de las chicas;Con amigos;25-44;De 4 a 7 noches;Ocio, recreo y vacaciones;Centro de Turismo de la Plaza Mayor
2124961;2021-07-17 16:47:26;313;49;174;Colombia;NULL;Hombre;Avión;Los ha encontrado en su recorrido;Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Con amigos;25-44;3 noches;Ocio, recreo y vacaciones;PIT del Aeropuerto T-4
2124964;2021-07-17 16:53:31;313;49;174;España;Madrid;Mujer;Residente;"Los había visto anteriormente&nbsp;";Sí;No ha buscado información;Señalización informativa$$10;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;10;;Residente;45-64;Residente;Residente;PIT del Aeropuerto T-4
2124969;2021-07-17 16:48:55;98;58;174;Argentina;NULL;Mujer;Avión;Los ha encontrado en su recorrido;Sí;"Guías turísticas publicadas sobre la ciudad&nbsp;";Señalización informativa$$9;Utilidad de la información facilitada$$10;Tiempo de espera para ser atendido$$8;Plano de la ciudad$$9;9;;En pareja;25-44;3 noches;Ocio, recreo y vacaciones;PIT del Paseo del Prado
2124970;2021-07-17 16:47:50;98;58;174;Seleccione País;Madrid;Hombre;Residente;"Los había visto anteriormente&nbsp;";Sí;Internet/web (Indicar páginas)##Madridturistico;Señalización informativa$$10;Utilidad de la información facilitada$$8;Tiempo de espera para ser atendido$$10;Plano de la ciudad$$10;9;La información de horarios de los lugares no esta bien actualizada mínimo desde marzo. Había un restaurante que nos han dicho, estaba cerrado;En pareja;45-64;Residente;Residente;PIT Faro de Moncloa
